lp_addr,token_pair,fee_tier,during_last_ndays,num_trades,volume_usd,fees_usd,start_tvl_usd,current_tvl_usd,tvl_change_usd,fee_apr,volume_to_tvl
0xa4bd201c839755948e4eaec754214f2b8a6e5955,PAINT-WETH,1.00%,99.9590,1327,1.805696791797423e+06,18056.967917974245,601928.8055044372,308049.86865400005,-293878.93685043714,0.10790029722293704,5.8617028459946265
0x4b1f895066058662b9fa885e87a4e4159be0798a,NMR-WETH,0.30%,99.8472,934,1.1864739958428314e+06,3559.4219875284934,122914.97932880031,106558.16875860376,-16356.810570196554,0.10421155226911782,11.134519386595903
0xf9d29c7c0691ca27f076828b4c1de6f6b14c0bda,UBT-WETH,1.00%,99.6965,1075,1.3036231847875812e+06,13036.231847875828,456905.0644343027,355078.8537089004,-101826.21072540228,0.1026968014661589,3.6713624908125713
0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT-WETH,0.30%,100.0778,8092,4.040313810249994e+07,121209.41430749984,4.249300065017134e+06,4.819227877172672e+06,569927.8121555382,0.10267181621519628,8.38373680022027
0x2b43fe4f41d871fbc75af6e0ce85bce38ff1edc7,COVAL-WETH,1.00%,99.7576,1911,2.434818269201547e+06,24348.182692015485,855690.740253279,626996.072368741,-228694.66788453795,0.10242282292768468,3.8833070516741808
0x99132b53ab44694eeb372e87bced3929e4ab8456,AGIX-WETH,1.00%,99.9229,3287,2.6495376029039774e+07,264953.760290398,9.466038503259547e+06,1.8847682188261827e+06,-7.581270284433365e+06,0.10077351588274941,14.057630940711036
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,LQTY-WETH,0.30%,99.9271,7754,4.341529001374214e+07,130245.87004122639,4.65483338616436e+06,2.684612441324915e+06,-1.970220944839445e+06,0.10074101751690767,16.17190226247918
0xe42318ea3b998e8355a3da364eb9d48ec725eb45,RPL-WETH,0.30%,100.0757,11617,1.1814380671775873e+08,354431.4201532763,1.2733867844974019e+07,1.1900052296811897e+07,-833815.5481621213,0.10021881867403937,9.92800735417022
0x36bcf57291a291a6e0e0bff7b12b69b556bcd9ed,ICE-WETH,0.30%,99.9528,2735,4.47439542246919e+06,13423.186267407584,483414.8286101271,466342.9282113223,-17071.900398804806,0.09998319010552925,9.59464623947643
0x02469e30dd450de2e9de00d49d679f1d1d774ada,GET-WETH,1.00%,99.5660,940,2.252965154222023e+06,22529.65154222025,831573.7879066695,980048.3648588943,148474.5769522247,0.09758584486322497,2.2988305832706546
0xb29148f6ea9f2d78ba9b2d6b30af37afdcc31a9e,STORJ-WETH,1.00%,98.7333,361,343151.616937776,3431.516169377761,133287.11172796672,120511.03637229383,-12776.075355672889,0.09372089389644067,2.847470466337044
0xca2fa1290aabb3835aac559fa832132d3c3b26d1,VEST-WETH,1.00%,23.9944,5,3834.108598183815,38.34108598183815,6299.891891301525,,,0.0923627719450193,0.6085991100065858
0x117439f6fdde9a09d28eb78759cd5c852a8653f0,AST-WETH,0.30%,99.5000,1332,1.711162958969448e+06,5133.488876908344,202977.327923902,196272.32664058826,-6705.00128331373,0.09208719871390825,8.718309851713894
0x6ce6d6d40a4c4088309293b0582372a2e6bb632e,STG-WETH,0.30%,100.0458,8257,2.3593571701823277e+06,7078.07151054699,277761.4818444078,260161.2130037173,-17600.268840690493,0.0918575455578452,9.068827527909074
0xc0793782d11dd9bf7b3a7a5a74614f1debe1da2e,POW-WETH,1.00%,99.9292,769,576101.7592190359,5761.017592190363,227632.88146720518,229844.95679197978,2212.0753247746034,0.09123737636619444,2.5064798778266617
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,100.0889,422847,2.1703059976059433e+10,1.0851529988029711e+07,4.2938519156328e+08,4.186196955305816e+08,-1.0765496032698393e+07,0.09110875257767881,51.84433558137245
0xbed8674cf009214a1209e61133215e5f81487fd9,TAIL-WETH,1.00%,92.8215,225,49631.622116463084,496.3162211646309,21252.451393173462,,,0.0910118083142808,2.335336343006781
0x2dd35b4da6534230ff53048f7477f17f7f4e7a70,SYN-WETH,1.00%,100.0417,1493,3.906412135935148e+06,39064.12135935148,1.575537097675426e+06,644962.7748624666,-930574.3228129593,0.08940592481980314,6.0568024825435245
0x3012e36cc30eb7ed916b8d4b82750b39551874dc,LYRA-WETH,1.00%,99.9326,759,2.7501567443167544e+06,27501.567443167547,1.1120987695008498e+06,909126.5803945326,-202972.18910631712,0.08917530335252111,3.025053720377719
0x122e55503a0b2e5cd528effa44d0b2fea300f24b,WETH-WOO,0.30%,100.0708,2720,8.086817264110006e+06,24260.45179233004,986749.1658209218,956585.3710103792,-30163.794810542604,0.08866511659840315,8.45383748192639
0x2dd31cc03ed996a99fbfdffa07f8f4604b1a2ec1,GEL-WETH,1.00%,100.0250,718,2.7584311082067275e+06,27584.311082067285,1.1357569082967201e+06,1.0201801127027548e+06,-115576.79559396533,0.08759926133131701,2.7038667720142464
0xd8de6af55f618a7bc69835d55ddc6582220c36c0,DYDX-WETH,0.30%,100.0861,4798,3.4038719706558354e+07,102116.15911967504,4.223270999116035e+06,3.3938501137259803e+06,-829420.8853900549,0.08721514748678771,10.029529462392352
0x77924185cf0cbb2ae0b746a0086a065d6875b0a5,WETH-XDEFI,1.00%,99.3021,1080,1.7465949775859078e+06,17465.94977585909,745221.6582614838,492251.03543864307,-252970.6228228407,0.08541447273200165,3.5481793878392223
0xe758dce2d3d90bdfee45bdd38d4a47862916ba57,VY-WETH,1.00%,13.8903,3,139.3239023077815,1.393239023077815,431.9442308394662,,,0.08463971494910183,0.3225506728889772
0x5ecef3b72cb00dbd8396ebaec66e0f87e9596e97,FOLD-WETH,1.00%,99.3708,730,938667.3771269205,9386.673771269192,409465.10153146693,317243.2987810982,-92221.80275036872,0.08356564128692123,2.9588249168175893
0x19a573b228468f3bf917389f4e2d4f2997610f71,PRE-WETH,1.00%,100.0590,688,656099.9684162557,6560.999684162554,285830.92365903856,196865.63937387796,-88965.2842851606,0.08284485661097962,3.3327297262384192
0x8c13148228765ba9e84eaf940b0416a5e349a5e7,INDEX-WETH,1.00%,98.1806,1110,1.628398345187183e+06,16283.983451871823,725489.3238960485,697588.6369835605,-27900.68691248796,0.08264999370243609,2.334324641852729
0x3688ec45e6c03e78954f96a17d3dc4d7c4794ca4,UNIDX-WETH,1.00%,83.2174,1495,3.9876120396113275e+06,39876.12039611325,2.1088506004188806e+06,466546.21391150204,-1.6423043865073784e+06,0.08205706389992962,8.547089057221944
0xaf9060d26826964c1b9329582e23b4adbf7679e3,JPEG-WETH,1.00%,100.0500,1052,2.5456206026003626e+06,25456.206026003645,1.1229830613910565e+06,980703.2444636395,-142279.81692741707,0.08182490414003651,2.5957093717912585
0x8661ae7918c0115af9e3691662f605e9c550ddc9,MANA-WETH,0.30%,99.9181,3985,8.531850396891322e+06,25595.55119067399,1.1335117906409898e+06,944113.907554753,-189397.88308623678,0.08151207857046261,9.036886681384392
0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,agEUR-WETH,0.05%,99.7368,3254,2.518715936503759e+07,12593.579682518814,559610.454329792,2.3711732985874997e+06,1.8115628442577077e+06,0.08123871697046092,10.622234730815121
0x2f60777945fc351abf9e9e733bc5a52809269dd7,WAIT-WETH,1.00%,76.9528,175,55451.09703075912,554.5109703075913,33382.18304371336,,,0.07818002798905654,1.6610985853785212
0xa424cea71c4aea3d11877240b2f221c027c0e0be,ALEPH-WETH,0.30%,100.0347,1051,3.0562928213050305e+06,9168.87846391508,428012.1748806947,347211.5979633327,-80800.57691736199,0.07737278873019782,8.802392659786065
0xb1914469141ebb6e244e75cee3f35d43bf6b85e5,TRAC-WETH,0.30%,99.7299,1636,3.5602077015991607e+06,10680.623104797496,504724.1247653059,395936.8102366341,-108787.31452867179,0.07644089315388847,8.9918583207037
0x7b12d855445073987d45ea97b1af3554f05e4ef4,WETH-WOOL,1.00%,100.0549,3925,2.2136733864768804e+06,22136.733864768823,1.0492366511051299e+06,1.2802438167981976e+06,231007.1656930677,0.07621434210095535,1.7291029704116256
0x058d79a4c6eb5b11d0248993ffa1faa168ddd3c0,WETH-wNXM,1.00%,99.9743,1462,1.1120155417268777e+07,111201.55417268796,5.376493288918301e+06,6.705115831770141e+06,1.3286225428518392e+06,0.07473018578977086,1.6584583616854645
0xc5af84701f98fa483ece78af83f11b6c38aca71d,USDT-WETH,1.00%,100.0292,3255,3.895898958223833e+07,389589.89582238306,1.958200294696637e+07,2.5261183844654366e+07,5.679180897687998e+06,0.07191200499514161,1.5422471813601333
0xefbd546647fda46067225bd0221e08ba91071584,RVP-WETH,1.00%,99.9514,1477,1.5735541682537936e+06,15735.541682537942,793833.3825216908,728618.1952731063,-65215.187248584465,0.07165040011313795,2.1596416044262825
0xcf15ad9be9d33384b74b94d63d06b4a9bd82f640,RPL-WETH,1.00%,99.4514,1064,1.0050149231497973e+07,100501.4923149797,5.136237575329406e+06,3.3269328771452573e+06,-1.8093046981841489e+06,0.07144460427308874,3.02084520566634
0xdadcf64babfb566785f1e9dfc4889c5e593dddc7,SETH2-WETH,0.05%,99.6000,887,1.0706996854286328e+07,5353.498427143166,279291.26505115174,264469.66875495197,-14821.596296199772,0.06930825657392337,40.48478188327541
0xc246467ab1466f4963ba45c335479b3055e82060,LEASH-WETH,1.00%,99.5924,1707,1.6986617461897787e+06,16986.61746189777,897160.0996971874,940776.8714403997,43616.771743212244,0.06846856218020059,1.805594714067535
0x70bb8e6844dfb681810fd557dd741bcaf027bf94,OGN-WETH,0.30%,99.9590,2739,9.112379230154162e+06,27337.13769046246,1.4779989070847626e+06,1.4267286577193546e+06,-51270.24936540797,0.06689995677988336,6.386904181710646
0xfe4ec8f377be9e1e95a49d4e0d20f52d07b1ff0d,GLM-WETH,0.30%,91.3861,292,1.060198089964723e+06,3180.594269894169,188554.6092365625,183181.04002758852,-5373.56920897399,0.06655683451717742,5.787706466810368
0x4b4a52e0d0601e1f639441206967fc98ff21ec79,MCB-WETH,1.00%,99.8236,608,1.136577789015561e+06,11365.777890155603,619154.8995800362,448108.33159117925,-171046.56798885693,0.06640124442025996,2.5363906646852756
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE-WETH,0.30%,100.0500,4607,2.2616267814783394e+07,67848.80344435011,3.704511820109181e+06,2.2415302898556218e+06,-1.4629815302535594e+06,0.0662516066212282,10.089655231132353
0xaafa7b5366e97c82bfa5fe1ed0ba01743585e6e4,OATH-WETH,1.00%,57.1590,28,55223.34835746555,552.2334835746553,53174.79404641754,,,0.06599965478486514,1.038524912936377
0x1becf1ac50f31c3441181563f9d350ddf72a2bfa,SMT-WETH,0.30%,99.8854,2544,2.0556137211079276e+06,6166.841163323792,338809.47362948593,211900.6643189023,-126908.80931058363,0.06584404404627042,9.70083660527986
0xdc2c21f1b54ddaf39e944689a8f90cb844135cc9,BAL-WETH,0.30%,99.8722,1006,786305.9482991003,2358.9178448972984,129717.69688737454,114512.16870623047,-15205.528181144065,0.06578492109977963,6.866571100546437
0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,MKR-WETH,1.00%,91.6069,694,9.047411611057315e+06,90474.11611057314,5.7236183576615695e+06,1.1143792388623212e+07,5.420174030961642e+06,0.06240222582299282,0.8118790529778616
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1.00%,100.0257,1128,2.9580200179664165e+07,295802.00179664127,1.7468306977287717e+07,1.8994319225775912e+07,1.5260122484881952e+06,0.06129544640734452,1.5573182606893785
0x700f4dc28170f9903faa6da32d6663ff1ac94f27,BLOOD-WETH,1.00%,99.9542,488,251739.52749718243,2517.3952749718237,150909.31850202742,158722.6082291705,7813.28972714307,0.06039023631512763,1.5860344679676013
0x290a6a7460b308ee3f19023d2d00de604bcf5b42,MATIC-WETH,0.30%,100.0535,32394,2.7870534351668143e+08,836116.0305500441,5.100621374729898e+07,2.512991330731492e+07,-2.5876300439984057e+07,0.059352106823877815,11.09058117743505
0x9127c5c988917b879b3b9bc87d11ee2c9bdeda73,FUSE-WETH,0.30%,99.2042,427,1.0725467001247786e+06,3217.640100374336,198285.2911610542,279159.03364434704,80873.74248329285,0.05934667416119144,3.8420633791533314
0xcd8286b48936cdac20518247dbd310ab681a9fbf,FXS-WETH,1.00%,99.4785,1373,1.0239500845309177e+07,102395.00845309184,6.315214106185367e+06,3.812478028466882e+06,-2.502736077718485e+06,0.059298396348689275,2.6857861917769017
0x52414c8b908e9a75c3c8704b2ae5e39ab7156c05,REEF-WETH,1.00%,99.1736,473,503377.74624938535,5033.777462493854,313698.2404761863,258840.92323598947,-54857.31724019686,0.05869075429182358,1.9447378720344297
0x531b6a4b3f962208ea8ed5268c642c84bb29be0b,GLM-WETH,1.00%,99.1424,1181,4.168749050187826e+06,41687.49050187822,2.5983212763617053e+06,3.3646765261016395e+06,766355.2497399342,0.05868149986080651,1.2389746883091304
0xa34f0d0314db32f41e1194816d56d55d1f7ca7b5,PRQ-WETH,1.00%,98.6424,661,399384.8727404547,3993.8487274045465,249431.21388339295,212053.06817156431,-37378.145711828634,0.05856470247947332,1.8834194486510665
0xe1d92f1de49caec73514f696fea2a7d5441498e5,LRC-WETH,0.30%,99.6931,1001,1.792375390327077e+06,5377.126170981232,332586.2016098378,230561.52951881842,-102024.6720910194,0.058544535092022176,7.7739568872038705
0x666ed8c2151f00e7e58b4d941f65a9df68d2245b,WETH-WOOF,1.00%,100.0701,2137,4.554108252419881e+06,45541.08252419878,2.8204629343041996e+06,2.47989499139136e+06,-340567.9429128398,0.058469281650471716,1.8364117304276546
0x78d4704c65dfd869f7f44d78c3fbbbdb5b412c71,HDRN-WETH,0.30%,99.9653,2461,1.3564910992000357e+06,4069.473297600111,253113.6120454148,133195.7632692625,-119917.8487761523,0.05822133337540669,10.184191042607075
0x840deeef2f115cf50da625f7368c24af6fe74410,cbETH-WETH,0.05%,100.0833,27488,5.464561871124302e+08,273228.0935562151,1.701531761436647e+07,9.176947678416999e+06,-7.838369935949473e+06,0.058149897735052525,59.54661683400734
0x5b97b125cf8af96834f2d08c8f1291bd47724939,SAND-WETH,1.00%,99.8361,1650,5.367142643491412e+06,53671.426434914174,3.3850716533625647e+06,2.996309150956187e+06,-388762.5024063778,0.05742247221495966,1.7912512938722096
0x3b685307c8611afb2a9e83ebc8743dc20480716e,FTM-WETH,1.00%,99.5431,2287,1.2938253425921598e+07,129382.53425921606,8.251288594461523e+06,6.235966835593496e+06,-2.0153217588680265e+06,0.05679336944252267,2.074779062658409
0x2837809fd68e4a4104af76bbec5b622b6146b2cb,RAIL-WETH,1.00%,99.2514,427,2.615124550723299e+06,26151.24550723298,1.6862211710209998e+06,1.2281170875720899e+06,-458104.0834489099,0.05673874203499962,2.129377220777243
0x4be410e2ff6a5f1718ada572afa9e8d26537242b,AURA-WETH,0.30%,99.0465,2984,4.541526956025912e+06,13624.580868077759,880477.6481307719,367874.86100043333,-512602.7871303386,0.05661272294759767,12.345303899470757
0x8b6ed5fa776f10787f1171bdeea4f3c40974df6e,DENT-WETH,1.00%,100.0236,781,398662.8449177052,3986.62844917705,257077.66411978443,216457.06264913944,-40620.60147064499,0.05617225350388,1.8417640895548306
0x1fc037ac35af9b940e28e97c2faf39526fbb4556,THEO-WETH,1.00%,99.8403,1104,1.3869613176256113e+06,13869.613176256114,902406.6974005266,409887.49786710634,-492519.19953342027,0.05567647616269822,3.383760970614653
0xaff1025438da93bd86427f2f9f7d06088f720a8d,CELR-WETH,1.00%,98.6903,698,661285.0890597213,6612.850890597209,436743.6263402491,339868.8169193648,-96874.8094208843,0.055404115276299626,1.9457068614112185
0x06b1655b9d560de112759b4f0bf57d6f005e72fe,GTC-WETH,1.00%,100.0340,11280,2.39454280063557e+06,23945.428006355705,1.602346329270671e+06,1.3545929267871233e+06,-247753.40248354757,0.054145986725959716,1.7677213229771107
0x8d132e304d697dbec65fc41fdab9cf6404e0dd1c,HOP-WETH,1.00%,99.9465,796,715418.2968292672,7154.182968292664,481016.612974063,277170.5243834125,-203846.08859065053,0.053890856616335414,2.581148548969163
0xaff587846a44aa086a6555ff69055d3380fd379a,0xBTC-WETH,1.00%,96.2389,350,219209.72504583423,2192.0972504583424,153775.53225213583,104460.07187754755,-49315.46037458828,0.053734536414321576,2.098502529299434
0xce962bde59c01a493f94b21560e48d7191d3bf96,BOND-WETH,1.00%,99.1375,206,240458.99366355402,2404.589936635542,163870.01836050066,115204.90869472262,-48665.10966577804,0.05370573375710119,2.0872287161021736
0x959c7d5706ac0b5a29f506a1019ba7f2a1c70c70,SHI-WETH,0.30%,100.0694,6555,1.1161629650826775e+07,33484.88895248034,2.260126273148358e+06,1.6771668994976676e+06,-582959.3736506903,0.0536838310287302,6.655050045508185
0x83695f776f5c8de31690e8a54e242a4567ba7a4b,COTI-WETH,1.00%,99.7750,288,263021.62467050424,2630.2162467050434,178255.42414890212,133915.518556879,-44339.90559202313,0.05346737002217328,1.964086220214941
0xb9abcf33069f2df034f3219b2ff10beca3321364,PILOT-WETH,1.00%,100.0167,795,1.1494087924338088e+06,11494.087924338084,788094.1812757412,610520.6537538087,-177573.5275219325,0.05285337928886524,1.8826697923594011
0x13dc0a39dc00f394e030b97b0b569dedbe634c0d,ANKR-WETH,0.30%,99.6083,1346,919727.5060481136,2759.182518144339,190119.41705450046,182630.31434495124,-7489.102709549217,0.05259513407985361,5.036006806136997
0x39c9e3128b8736e02a30b2b9b7e50ff522b935c5,FXS-WETH,0.30%,100.0222,1669,3.3127115710369977e+06,9938.134713111,686915.6439592978,255255.72717424732,-431659.9167850505,0.05243275390502622,12.978010749101093
0x498498fa386ef2860e7abf8c60254580c8c41ec5,DC-WETH,1.00%,100.0417,4462,4.595008750893429e+06,45950.087508934266,3.214606241269374e+06,1.727727634002032e+06,-1.4868786072673418e+06,0.05180797727680653,2.6595677816703978
0x0a55882f4e1117adc54afbbac4a39079ad52fb89,SSV-WETH,0.30%,99.8632,2461,7.709924405395718e+06,23129.773216187165,1.6380665852572238e+06,1.4329281293802802e+06,-205138.45587694366,0.05118171899654689,5.380538107469594
0x9663f2ca0454accad3e094448ea6f77443880454,LUSD-WETH,0.30%,99.3410,1311,2.981051126836224e+06,8943.153380508667,640259.1396711799,199097.80856189525,-441161.33110928466,0.05114037903534041,14.972797281741446
0x2a0330c7e979a4d18e5b0c987b877da24dd37d04,AIOZ-WETH,1.00%,98.7903,653,746607.7260346343,7466.077260346342,547777.9491396393,486897.20372503775,-60880.74541460152,0.04991014969104368,1.5333990836724154
0x14424eeecbff345b38187d0b8b749e56faa68539,WETH-ZRX,0.30%,99.8917,1680,3.8958809672387727e+06,11687.642901716325,851282.1033351775,742222.3556122066,-109059.7477229709,0.04977502735741046,5.248940479602418
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC-WETH,0.05%,100.0847,55188,2.957248634797665e+09,1.4786243173988333e+06,1.1275399104224291e+08,1.1136503513022456e+08,-1.3889559120183587e+06,0.04755704996944221,26.554552165673996
