Created At Timestamp;Created At Timestamp (Unix);Token 0 Symbol;Token 1 Symbol;Token 0;Token 1;Fee Tier;Liquidity;Volume Token0;Volume Token1;Volume USD;Fees USD;Total Value Locked Token0;Total Value Locked Token1;Liquidity Provider Count
3/16/2022, 10:15:46 PM;1647494146;gOHM;USDC;0x0ab87046fbb341d058f17cbc4c1133f25a20a52f;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0.003;90,823,767,572,396,210;23056.676026881946059559;59639117.010013;59639117.010013;178917.351030039;108.370884253389385479;248652.413191;0
4/23/2023, 6:39:11 PM;1682300351;MIX;WETH;0x5d285f735998f36631f678ff41fb56a10a4d0429;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;45,711,226,574,877,930,000,000;13965973.913489716993733569;16.315499989772831013;30143.91661850715743384;90.431749855521472301;16746550.725707381462814953;9.510063510102823824;0
6/1/2021, 8:55:11 PM;1622606111;ANDY;SAND;0x1465140fac1cf3760093f1ea2c78289f6b0e432f;0x3845badade8e6dff049820680d1f14bd3903a5d0;0.003;0;100.968602350988348816;101.4164198813934084;0.0;0.0;0.000000000000000002;0.304249259644180229;0
11/1/2022, 12:00:35 PM;1667329235;JCOIN;WETH;0x7c72f41342d485d59a890528880a210ee7bfbb73;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.01;51,033,318,892,047;3248316.821886;14.26683658710521494;18038.163326735223595335;180.381633267352235953;208359.226005;0.056705513768887645;0
2/13/2022, 11:21:32 AM;1644780092;LERN;WETH;0x4b4da863bbe5a61466ddf5f8ccd56c10494d35f0;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;15,895,161,427,090,233,000;576.0;0.039993434071408902;114.100763962992680704;0.342302291888978042;55.299999999999999969;0.004108869799308102;0
2/22/2023, 7:32:23 PM;1677123143;QANX;WETH;0xaaa9214f675316182eaa21c85f0ca99160cc3aaa;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;10,170,177,520,959,280,000,000;278562959.304241849718015276;2261.31146455334857378;3864960.628432064398502479;11594.881885296193195507;5384404.478606097887365817;22.593842645993221109;0
6/26/2021, 12:25:19 AM;1624692319;RUNE;USDC;0x3155ba85d5f96b2d030a4966af206230e46849cb;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0.003;0;0.0;0.0;0.0;0.0;0.0;0.000001;0
5/5/2021, 1:41:48 PM;1620247308;LINK;DAI;0x514910771af9ca656af840dff83e8264ecf986ca;0x6b175474e89094c44da98b954eedeac495271d0f;0.003;3,280,471,955,886,846,000,000;266.553569208839594871;8411.367468020863027052;6308.646993133047860815;18.925940979399143582;6.874451048109526037;253.970264236381505912;0
10/24/2021, 10:35:43 PM;1635140143;VRN;USDC;0x72377f31e30a405282b522d588aebbea202b4f23;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0.01;0;24.299658156035048491;20222.024777;20222.024777;202.22024777;0.012035036975779375;194.030918;0
11/8/2021, 6:38:55 AM;1636382335;CPD;USDC;0x9b31bb425d8263fa1b8b9d090b83cf0c31665355;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0.003;331,829,891,467,654,000;114863951.24435262208016081;2852980.46055;2852980.46055;8558.94138165;5988061.319614157644535382;43331.465695;0
5/6/2021, 6:21:13 AM;1620307273;DAI;TRIBE;0x6b175474e89094c44da98b954eedeac495271d0f;0xc7283b66eb1eb5fb86327f08e1b5816b0720212b;0.003;0;15012898.444005672531986668;15219267.389599020695949956;15031172.084559170237465865;45093.516253677510712397;18067.915561425605937241;27255.349372790152975812;0
6/8/2021, 9:20:23 PM;1623212423;TNY;COMP;0x3b2c40eb69bed45143797e64fc104832a8fc51b1;0xc00e94cb662c3520282e6f5717214004a7f26888;0.01;41,454,299,085,114;4445.74878487;3.094019176670928648;829.733899490209961116;8.297338994902099611;108.88204639;0.057787139406758798;0
11/18/2021, 4:33:47 AM;1637238827;USDC;SONE;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc55891e8b246417ac0ff87c292a8f34819b2e29b;0.003;18,536,709;1131.902674;382.2;1131.902674;3.395708022;87.197167;2192.0;0
11/16/2022, 1:08:23 AM;1668589703;STORM;WETH;0x555bcccb6d6ad8d3bf8b2cee5238fb34dfcff6fb;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.01;0;97980547.590800336584575695;0.05;61.413879026336841382;0.614138790263368413;0.000000000000000002;0.000500000000000001;0
5/11/2023, 3:27:35 AM;1683800855;RUG;WETH;0x52ace71f5914c7dbb5f6316af3a08a01c0ea566b;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;0;26903012990910350341734815.0;0.009999999999999999;18.197481295410030682;0.054592443886230092;80709038972731051025206.0;0.000000000000000001;0
5/13/2023, 3:25:11 PM;1684016711;WETH;KARSA;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0xcded85fac6c7481fb78dd1138129137c26380963;0.001;17,711,800,642,374,163,000,000;0.849621982381718565;22643345.711457975774957405;1529.507019829437505914;0.764753509914718752;0.450378017618281435;10826725.539432275409528362;0
5/12/2023, 2:07:59 AM;1683882479;WETH;GrumpyCat;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0xd8e2d95c8614f28169757cd6445a71c291dec5bf;0.01;181,007,267,280,218,700,000,000;270.399051358595627027;25754157895243.75559603921146937;488733.672068184423883623;4887.336720681844238836;1.486963293609155174;146928951661.093987670389406682;0
5/14/2021, 4:19:19 AM;1620991159;WALL;WETH;0xacdaffe747262e9159d5c4873c1df61fe2e95397;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.003;0;17869.31066;0.159542842663097941;367.596330135212259454;1.102788990405636778;26.803967;0.000240000000000002;0
2/5/2023, 12:31:11 PM;1675629071;WRAB;USDT;0x45d74446748fb432f05e7a85bd974abb7af5c285;0xdac17f958d2ee523a2206206994597c13d831ec7;0.003;0;0.0;0.0;0.0;0.0;0.0;0.000001;0
6/25/2021, 5:06:02 AM;1624622762;USDC;UOS;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c;0.01;202,308,821,660;307064434.603193;413167854.5751;307064434.603193;3070644.34603193;1590493.920766;7815161.5951;0
12/23/2022, 1:42:47 AM;1671788567;UOS;USDT;0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c;0xdac17f958d2ee523a2206206994597c13d831ec7;0.01;0;0.0;0.0;0.0;0.0;0.0001;0.000001;0
