pair,pool,volume,vol_rank,Volume Share,tvl,tvl_rank,TVL Share,Fee Earned,fee_rank,Fee Share,Fee/TVL,apy,0.05_fee_total,0.3_fee_total,0.01_fee_total,1_fee_total,daily_volume,time,total_volume,Pool-Name,running_total_by_pool
WETH-ENS 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x92560c178ce069cc014138ed3c2f5221ba71f58a"" target=""_blank"">🔗🦄 0x9256...f58a</a>",2281518007.0224733,23.,0.0026877298370124,2562942.666553068,36.,0.001972495537103,6844554.02106742,27.,0.0051593305268003,267.0584133773364,1.296227671312869,,6844554.02106742,,,40181966.38729721,2021-05-27T00:00:00+00:00,62648963.59704452,DAI / ETH 0.05% fee,62648963.59704452
AXS-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x3019d4e366576a88d28b623afaf3ecb9ec9d9580"" target=""_blank"">🔗🦄 0x3019...9580</a>",2205753627.7045555,24.,0.0025984760234335,82858.8809302465,300.,6.376996839499041e-05,6617260.8831136655,28.,0.0049880000907241,7986.181817594553,38.762717598696966,,6617260.8831136655,,,2612556.785126551,2021-05-28T00:00:00+00:00,65261520.38217107,DAI / ETH 0.05% fee,65261520.38217107
SHIB-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec"" target=""_blank"">🔗🦄 0x2f62...a9ec</a>",2177822541.353644,25.,0.002565571959589,206074.386805922,191.,0.0001585992591994,6533467.624060932,29.,0.0049248378864314,3170.441375722283,15.388445507162675,,6533467.624060932,,,3383687.0642985464,2021-05-29T00:00:00+00:00,68645207.44646962,DAI / ETH 0.05% fee,68645207.44646962
HEX-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x9e0905249ceefffb9605e034b534544684a58be6"" target=""_blank"">🔗🦄 0x9e09...8be6</a>",2049317984.329696,26.,0.0024141878674879,381549.921881821,123.,0.0002936489871254,6147953.952989088,32.,0.0046342429922224,1611.3104997288713,7.820855484056357,,6147953.952989088,,,7878104.826153778,2021-05-30T00:00:00+00:00,76523312.2726234,DAI / ETH 0.05% fee,76523312.27262339
LDO-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74"" target=""_blank"">🔗🦄 0xa3f5...fd74</a>",1940936108.870683,27.,0.0022865091905869,2265724.86983522,38.,0.0017437503586702,5822808.326612049,33.,0.0043891526984415,256.99538386739454,1.2473845094627527,,5822808.326612049,,,9189264.888624407,2021-05-31T00:00:00+00:00,85712577.1612478,DAI / ETH 0.05% fee,85712577.1612478
SHIB-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x5764a6f2212d502bc5970f9f129ffcd61e5d7563"" target=""_blank"">🔗🦄 0x5764...7563</a>",1695997995.0572996,28.,0.0019979611823347,241580.574269675,172.,0.0001859255810972,16959979.950572997,11.,0.0127841992368799,7020.42372481517,34.075194940924696,,,,16959979.950572997,4634476.805183528,2021-06-01T00:00:00+00:00,90347053.96643132,DAI / ETH 0.05% fee,90347053.96643132
DAI-FEI 0.05%,"<a href=""https://info.uniswap.org/#/pools/0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8"" target=""_blank"">🔗🦄 0xbb2e...14f8</a>",1612536898.9173205,29.,0.0018996402935078,397047.198055823,119.,0.000305576022595,806268.4494586602,161.,0.0006077540496114,203.0661476536355,0.9856269134784172,806268.4494586602,,,,7128019.024049135,2021-06-02T00:00:00+00:00,97475072.99048048,DAI / ETH 0.05% fee,97475072.99048048
GALA-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xf8a95b2409c27678a6d18d950c5d913d5c38ab03"" target=""_blank"">🔗🦄 0xf8a9...ab03</a>",1542840006.3529513,30.,0.0018175342495863,30593.260915958,449.,2.3545228463231347e-05,4628520.019058853,41.,0.0034889146253699,15129.214344864213,73.43302175366273,,4628520.019058853,,,18656952.05952201,2021-06-03T00:00:00+00:00,116132025.05000249,DAI / ETH 0.05% fee,116132025.05000249
Metis-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0x1c98562a2fab5af19d8fb3291a36ac3c618835d9"" target=""_blank"">🔗🦄 0x1c98...35d9</a>",1521282917.147897,31.,0.0017921390382939,663177.058282785,83.,0.0005103952596533,4563848.751443692,42.,0.003440166314788,688.1795282938788,3.3402330828093847,,4563848.751443692,,,5528765.018266261,2021-06-04T00:00:00+00:00,121660790.06826876,DAI / ETH 0.05% fee,121660790.06826876
DYDX-WETH 0.3%,"<a href=""https://info.uniswap.org/#/pools/0xd8de6af55f618a7bc69835d55ddc6582220c36c0"" target=""_blank"">🔗🦄 0xd8de...36c0</a>",1444098976.0155604,32.,0.0017012129176668,290248.935725953,145.,0.0002233817938418,4332296.928046681,45.,0.0032656257402946,1492.6142337821163,7.244736640032879,,4332296.928046681,,,4045362.7644659127,2021-06-05T00:00:00+00:00,125706152.83273466,DAI / ETH 0.05% fee,125706152.83273464
FTM-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x3b685307c8611afb2a9e83ebc8743dc20480716e"" target=""_blank"">🔗🦄 0x3b68...716e</a>",1335425803.3332596,33.,0.0015731910796615,2076244.324273053,39.,0.0015979220748905,13354258.033332596,14.,0.0100662557300405,643.1929940619232,3.1218808887314093,,,,13354258.033332596,1899336.4445240528,2021-06-06T00:00:00+00:00,127605489.27725872,DAI / ETH 0.05% fee,127605489.27725872
cbETH-WETH 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x840deeef2f115cf50da625f7368c24af6fe74410"" target=""_blank"">🔗🦄 0x840d...4410</a>",1298730759.9049408,34.,0.0015299626840104,15154932.8982884,16.,0.0116635607565787,649365.3799524704,183.,0.0004894826773992,4.284844969691749,0.0207974523129985,649365.3799524704,,,,6930442.3540031705,2021-06-07T00:00:00+00:00,134535931.6312619,DAI / ETH 0.05% fee,134535931.6312619
BUSD-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0x5e35c4eba72470ee1177dcb14dddf4d9e6d915f4"" target=""_blank"">🔗🦄 0x5e35...15f4</a>",1263890102.8783154,35.,0.0014889188381397,4202898.79084698,29.,0.0032346408743473,126389.01028783157,447.,9.52702947515642e-05,3.0071866246953163,0.0145960521012472,,,126389.01028783157,126389.01028783157,6099678.7082123365,2021-06-08T00:00:00+00:00,140635610.33947423,DAI / ETH 0.05% fee,140635610.3394742
FEI-USDC 0.01%,"<a href=""https://info.uniswap.org/#/pools/0xdf50fbde8180c8785842c8e316ebe06f542d3443"" target=""_blank"">🔗🦄 0xdf50...3443</a>",1218240466.095472,36.,0.001435141532656,169279.616355446,210.,0.0001302812162523,121824.0466095472,458.,9.18292880202835e-05,71.96616416813372,0.3493038553373511,,,121824.0466095472,121824.0466095472,2963996.9674315834,2021-06-09T00:00:00+00:00,143599607.3069058,DAI / ETH 0.05% fee,143599607.3069058
MIM-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x298b7c5e0770d151e4c5cf6cca4dae3a3ffc8e27"" target=""_blank"">🔗🦄 0x298b...8e27</a>",1192888231.479132,37.,0.0014052754710236,206977.665650588,190.,0.0001592944419333,596444.1157395659,198.,0.0004495913575075,288.1683460216721,1.398689445450935,596444.1157395659,,,,2512824.4970639283,2021-06-10T00:00:00+00:00,146112431.80396974,DAI / ETH 0.05% fee,146112431.8039697
LUSD-USDC 0.05%,"<a href=""https://info.uniswap.org/#/pools/0x4e0924d3a751be199c426d52fb1f2337fa96f736"" target=""_blank"">🔗🦄 0x4e09...f736</a>",1174825002.4104152,38.,0.0013839961825975,4038574.01497607,30.,0.0031081730093924,587412.5012052075,200.,0.0004427834508959,14.54504731192077,0.0705976365538707,587412.5012052075,,,,7074660.537050658,2021-06-11T00:00:00+00:00,153187092.34102038,DAI / ETH 0.05% fee,153187092.34102038
RBN-WETH 1%,"<a href=""https://info.uniswap.org/#/pools/0x94981f69f7483af3ae218cbfe65233cc3c60d93a"" target=""_blank"">🔗🦄 0x9498...d93a</a>",1153878028.240462,39.,0.0013593197139926,26049.333190406,479.,2.0048124420859512e-05,11538780.282404622,18.,0.008697773612395,44295.87582170575,214.9999291878005,,,,11538780.282404622,11749997.820633952,2021-06-12T00:00:00+00:00,164937090.16165435,DAI / ETH 0.05% fee,164937090.16165432
