daily_volume,time,total_volume,Pool-Name,running_total_by_pool
12643.253291525702,2022-01-19T00:00:00+00:00,363472465.391851,USDC / ETH 1% fee,363472465.391851
330478.92505103635,2022-01-20T00:00:00+00:00,363802944.3169021,USDC / ETH 1% fee,363802944.31690204
1139126.2227026063,2022-01-21T00:00:00+00:00,364942070.5396047,USDC / ETH 1% fee,364942070.53960466
581170.4355384966,2022-01-22T00:00:00+00:00,365523240.97514313,USDC / ETH 1% fee,365523240.97514313
422851.6782729345,2022-01-23T00:00:00+00:00,365946092.6534161,USDC / ETH 1% fee,365946092.6534161
937668.0511083507,2022-01-24T00:00:00+00:00,366883760.7045244,USDC / ETH 1% fee,366883760.7045244
544451.0839161944,2022-01-25T00:00:00+00:00,367428211.78844064,USDC / ETH 1% fee,367428211.7884406
2874674.167681149,2022-01-26T00:00:00+00:00,370302885.95612174,USDC / ETH 1% fee,370302885.95612174
1458566.245691375,2022-01-27T00:00:00+00:00,371761452.2018132,USDC / ETH 1% fee,371761452.20181316
2178658.1245758384,2022-01-28T00:00:00+00:00,373940110.32638896,USDC / ETH 1% fee,373940110.32638896
369334.5767978764,2022-01-29T00:00:00+00:00,374309444.90318686,USDC / ETH 1% fee,374309444.90318686
378416.72494544426,2022-01-30T00:00:00+00:00,374687861.6281323,USDC / ETH 1% fee,374687861.6281323
3573186.1464962405,2022-01-31T00:00:00+00:00,378261047.7746285,USDC / ETH 1% fee,378261047.7746285
885172.3064678914,2022-02-01T00:00:00+00:00,379146220.0810964,USDC / ETH 1% fee,379146220.0810964
2412573.958816784,2022-02-02T00:00:00+00:00,381558794.0399133,USDC / ETH 1% fee,381558794.03991324
1564535.8661049292,2022-02-03T00:00:00+00:00,383123329.9060181,USDC / ETH 1% fee,383123329.90601814
2376825.1141129867,2022-02-04T00:00:00+00:00,385500155.0201311,USDC / ETH 1% fee,385500155.0201311
263750.76079009066,2022-02-05T00:00:00+00:00,385763905.7809212,USDC / ETH 1% fee,385763905.7809212
188059.09953628344,2022-02-06T00:00:00+00:00,385951964.8804575,USDC / ETH 1% fee,385951964.8804575
318042.33125277824,2022-02-07T00:00:00+00:00,386270007.2117103,USDC / ETH 1% fee,386270007.2117103
975157.4303051456,2022-02-08T00:00:00+00:00,387245164.64201546,USDC / ETH 1% fee,387245164.6420154
387680.1337731901,2022-02-09T00:00:00+00:00,387632844.7757886,USDC / ETH 1% fee,387632844.7757886
1100593.1531638063,2022-02-10T00:00:00+00:00,388733437.92895246,USDC / ETH 1% fee,388733437.9289524
2970357.5654730373,2022-02-11T00:00:00+00:00,391703795.4944255,USDC / ETH 1% fee,391703795.4944255
740820.8362316098,2022-02-12T00:00:00+00:00,392444616.33065706,USDC / ETH 1% fee,392444616.33065706
638356.8919846764,2022-02-13T00:00:00+00:00,393082973.22264177,USDC / ETH 1% fee,393082973.22264177
667976.5282782087,2022-02-14T00:00:00+00:00,393750949.75092,USDC / ETH 1% fee,393750949.75091994
1654900.493703469,2022-02-15T00:00:00+00:00,395405850.2446234,USDC / ETH 1% fee,395405850.2446234
428823.9922649795,2022-02-16T00:00:00+00:00,395834674.2368884,USDC / ETH 1% fee,395834674.2368884
1836666.0544065463,2022-02-17T00:00:00+00:00,397671340.2912949,USDC / ETH 1% fee,397671340.29129493
743225.8216630514,2022-02-18T00:00:00+00:00,398414566.112958,USDC / ETH 1% fee,398414566.112958
543828.0933156377,2022-02-19T00:00:00+00:00,398958394.2062736,USDC / ETH 1% fee,398958394.2062736
932448.2826334084,2022-02-20T00:00:00+00:00,399890842.48890704,USDC / ETH 1% fee,399890842.48890704
5925391.408033976,2022-02-21T00:00:00+00:00,405816233.896941,USDC / ETH 1% fee,405816233.896941
1697500.353035305,2022-02-22T00:00:00+00:00,407513734.24997634,USDC / ETH 1% fee,407513734.24997634
1149971.6240523844,2022-02-23T00:00:00+00:00,408663705.8740288,USDC / ETH 1% fee,408663705.8740287
3633411.401375739,2022-02-24T00:00:00+00:00,412297117.27540445,USDC / ETH 1% fee,412297117.27540445
1512446.201328942,2022-02-25T00:00:00+00:00,413809563.4767334,USDC / ETH 1% fee,413809563.4767334
955202.9274912308,2022-02-26T00:00:00+00:00,414764766.40422463,USDC / ETH 1% fee,414764766.40422463
2346871.601139591,2022-02-27T00:00:00+00:00,417111638.0053642,USDC / ETH 1% fee,417111638.00536424
1552005.5304805236,2022-02-28T00:00:00+00:00,418663643.5358448,USDC / ETH 1% fee,418663643.53584474
1106314.945751285,2022-03-01T00:00:00+00:00,419769958.48159605,USDC / ETH 1% fee,419769958.48159605
694062.2007569363,2022-03-02T00:00:00+00:00,420464020.68235296,USDC / ETH 1% fee,420464020.68235296
518219.30461169645,2022-03-03T00:00:00+00:00,420982239.98696464,USDC / ETH 1% fee,420982239.98696464
1396285.7399603855,2022-03-04T00:00:00+00:00,422378525.7269251,USDC / ETH 1% fee,422378525.726925
237790.0343409349,2022-03-05T00:00:00+00:00,422616315.761266,USDC / ETH 1% fee,422616315.761266
452781.5735957287,2022-03-06T00:00:00+00:00,423069097.3348617,USDC / ETH 1% fee,423069097.3348617
1366117.4123493046,2022-03-07T00:00:00+00:00,424435214.74721104,USDC / ETH 1% fee,424435214.74721104
880831.9583449162,2022-03-08T00:00:00+00:00,425316046.7055559,USDC / ETH 1% fee,425316046.7055559
867550.0780468027,2022-03-09T00:00:00+00:00,426183596.7836027,USDC / ETH 1% fee,426183596.7836027
729303.6372331815,2022-03-10T00:00:00+00:00,426912900.4208359,USDC / ETH 1% fee,426912900.4208359
1088937.823884564,2022-03-11T00:00:00+00:00,428001838.24472046,USDC / ETH 1% fee,428001838.24472046
92633.37686440848,2022-03-12T00:00:00+00:00,428094471.6215849,USDC / ETH 1% fee,428094471.6215849
258998.3402841415,2022-03-13T00:00:00+00:00,428353469.961869,USDC / ETH 1% fee,428353469.961869
505433.85485623486,2022-03-14T00:00:00+00:00,428858903.81672525,USDC / ETH 1% fee,428858903.81672525
636683.6529706728,2022-03-15T00:00:00+00:00,429495587.4696959,USDC / ETH 1% fee,429495587.4696959
1438753.9177096623,2022-03-16T00:00:00+00:00,430934341.3874056,USDC / ETH 1% fee,430934341.3874056
170394.2885030246,2022-03-17T00:00:00+00:00,431104735.6759086,USDC / ETH 1% fee,431104735.6759086
741134.5009301188,2022-03-18T00:00:00+00:00,431845870.1768388,USDC / ETH 1% fee,431845870.17683876
90998.2291397906,2022-03-19T00:00:00+00:00,431936868.40597856,USDC / ETH 1% fee,431936868.4059785
524552.9771190481,2022-03-20T00:00:00+00:00,432461421.3830976,USDC / ETH 1% fee,432461421.3830976
426676.9563406189,2022-03-21T00:00:00+00:00,432888098.3394382,USDC / ETH 1% fee,432888098.3394382
461392.7279509323,2022-03-22T00:00:00+00:00,433349491.06738913,USDC / ETH 1% fee,433349491.06738913
674570.4776349226,2022-03-23T00:00:00+00:00,434024061.545024,USDC / ETH 1% fee,434024061.54502404
1615019.8259344518,2022-03-24T00:00:00+00:00,435639081.3709585,USDC / ETH 1% fee,435639081.3709585
276237.6935714694,2022-03-25T00:00:00+00:00,435915319.06453,USDC / ETH 1% fee,435915319.06452996
23176.58771357364,2022-03-26T00:00:00+00:00,435938495.6522436,USDC / ETH 1% fee,435938495.65224355
326293.27286087826,2022-03-27T00:00:00+00:00,436264788.9251045,USDC / ETH 1% fee,436264788.92510444
348178.423862469,2022-03-28T00:00:00+00:00,436612967.3489669,USDC / ETH 1% fee,436612967.3489669
370664.11868420383,2022-03-29T00:00:00+00:00,436983631.4676511,USDC / ETH 1% fee,436983631.46765107
157531.8636678137,2022-03-30T00:00:00+00:00,437141163.3313189,USDC / ETH 1% fee,437141163.3313189
239518.9914091486,2022-03-31T00:00:00+00:00,437380682.322728,USDC / ETH 1% fee,437380682.32272804
718089.8618832391,2022-04-01T00:00:00+00:00,438098772.1846113,USDC / ETH 1% fee,438098772.1846113
237067.9933920422,2022-04-02T00:00:00+00:00,438335840.1780034,USDC / ETH 1% fee,438335840.1780033
387390.7677685177,2022-04-03T00:00:00+00:00,438723230.9457719,USDC / ETH 1% fee,438723230.9457719
664474.7425153443,2022-04-04T00:00:00+00:00,439387705.6882872,USDC / ETH 1% fee,439387705.6882872
311285.66829818627,2022-04-05T00:00:00+00:00,439698991.3565854,USDC / ETH 1% fee,439698991.3565854
944051.6956068334,2022-04-06T00:00:00+00:00,440643043.0521922,USDC / ETH 1% fee,440643043.0521922
475504.875232776,2022-04-07T00:00:00+00:00,441118547.927425,USDC / ETH 1% fee,441118547.927425
607870.2996440138,2022-04-08T00:00:00+00:00,441726418.227069,USDC / ETH 1% fee,441726418.227069
91931.49968029304,2022-04-09T00:00:00+00:00,441818349.7267493,USDC / ETH 1% fee,441818349.7267493
301469.7373726418,2022-04-10T00:00:00+00:00,442119819.46412194,USDC / ETH 1% fee,442119819.46412194
1808565.5077309776,2022-04-11T00:00:00+00:00,443928384.97185296,USDC / ETH 1% fee,443928384.9718529
1660787.609809277,2022-04-12T00:00:00+00:00,445589172.5816622,USDC / ETH 1% fee,445589172.5816622
1828014.555393021,2022-04-13T00:00:00+00:00,447417187.1370552,USDC / ETH 1% fee,447417187.1370552
1409465.8354564938,2022-04-14T00:00:00+00:00,448826652.9725117,USDC / ETH 1% fee,448826652.9725117
149093.41068581957,2022-04-15T00:00:00+00:00,448975746.3831976,USDC / ETH 1% fee,448975746.38319755
623653.5998701595,2022-04-16T00:00:00+00:00,449599399.9830677,USDC / ETH 1% fee,449599399.9830677
799233.2120949158,2022-04-17T00:00:00+00:00,450398633.1951626,USDC / ETH 1% fee,450398633.1951626
1118083.2604218218,2022-04-18T00:00:00+00:00,451516716.45558447,USDC / ETH 1% fee,451516716.4555844
980210.1036424228,2022-04-19T00:00:00+00:00,452496926.5592269,USDC / ETH 1% fee,452496926.5592269
571495.4157060067,2022-04-20T00:00:00+00:00,453068421.9749329,USDC / ETH 1% fee,453068421.97493285
2103974.07404502,2022-04-21T00:00:00+00:00,455172396.0489779,USDC / ETH 1% fee,455172396.0489779
399436.5749802601,2022-04-22T00:00:00+00:00,455571832.6239582,USDC / ETH 1% fee,455571832.6239582
57755.2334488442,2022-04-23T00:00:00+00:00,455629587.857407,USDC / ETH 1% fee,455629587.857407
927463.03606777,2022-04-25T00:00:00+00:00,456557050.8934748,USDC / ETH 1% fee,456557050.89347476
729267.6617117178,2022-04-26T00:00:00+00:00,457286318.55518645,USDC / ETH 1% fee,457286318.55518645
519002.8662897895,2022-04-27T00:00:00+00:00,457805321.4214762,USDC / ETH 1% fee,457805321.42147624
600638.5884222197,2022-04-28T00:00:00+00:00,458405960.0098985,USDC / ETH 1% fee,458405960.0098985
505604.6856977866,2022-04-29T00:00:00+00:00,458911564.6955963,USDC / ETH 1% fee,458911564.6955963
417073.6310187088,2022-04-30T00:00:00+00:00,459328638.326615,USDC / ETH 1% fee,459328638.326615
352140.70160415705,2022-05-01T00:00:00+00:00,459680779.0282192,USDC / ETH 1% fee,459680779.02821916
